DDF_Field,Identifier,RA,Dec,Otype,Otype_txt,Mag_U,Mag_B,Mag_V,Mag_G,Mag_R,Mag_I,Mag_BP,Mag_RP,Mag_cyan,Mag_orange,Period_days,Period_source,Catalog_sources
COSMOS,Gaia DR3 3848597190377637632,149.61504253962,3.95115178592,DSCT|GDOR|SXPHE,,,,,14.838635,,,15.019467,14.53389,,,,,"AAVSO_VSX,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848606909888907520,149.76938096593,4.1338026633,AGN,,,,,20.124657,,,20.444176,19.90351,,,,,"Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848613781836242816,148.24220261704,3.1831267681,AGN,,,,,19.810564,,,20.13876,19.450544,,,,,"Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848615538477624704,148.30569285367,3.22162391699,AGN,,,,,19.680319,,,19.99037,19.068102,,,,,"Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848617187745402368,148.566678932,3.22230499771,DSCT|GDOR|SXPHE,,,,,14.978505,,,15.292485,14.476447,,,,,"AAVSO_VSX,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848617531342790272,148.46698229556,3.20240278258,SOLAR_LIKE,,,,,13.708872,,,14.410706,12.893561,,,,,"AAVSO_VSX,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848635222313211648,148.29937146973,3.37113081619,AGN,,,,,19.98184,,,20.12784,19.58924,,,,,"Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848637185113132032,148.43223909298,3.42376283478,RS,,,,,14.435181,,,14.801934,13.896918,,,,,"AAVSO_VSX,Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848639929597202688,148.29458071667,3.45707697082,AGN,,,,,19.259703,,,19.124176,18.14818,,,,,"Gaia_VarClassify,Gaia_VariSum"
COSMOS,Gaia DR3 3848649584683277056,148.72258755396,3.4970151352,DSCT|GDOR|SXPHE,,,13.336999893188477,12.927000045776367,12.82880687713623,12.918000221252441,,13.033847,12.474708,12.934000015258789,12.819999694824219,0.452559,ATLAS,"AAVSO_VSX,ATLAS,Gaia_VarClassify,Gaia_VariSum,SIMBAD"
COSMOS,Gaia DR3 3848651818066271232,148.86927034479,3.48927919932,DSCT|GDOR|SXPHE,,,,,13.219982,,,13.382606,12.947228,,,,,"AAVSO_VSX,Gaia_VarClassify,Gaia_VariSum"
