DDF_Field,Identifier,RA,Dec,Otype,Otype_txt,Mag_U,Mag_B,Mag_V,Mag_G,Mag_R,Mag_I,Mag_BP,Mag_RP,Mag_cyan,Mag_orange,Period_days,Period_source,Catalog_sources
ELAIS-S1,Gaia DR3 4980256132969096192,7.17012471305,-44.62477863085,Eclipsing Binary,,,,,11.060598,,,11.102583,10.950949,,,0.6329879452039071,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980292623011077248,7.90821214961,-44.55761472086,Eclipsing Binary,,,,,14.985083,,,14.853497,13.67241,,,14.757766466319914,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980391819575788032,8.4023134535,-43.82069585005,Eclipsing Binary,,,11.6899995803833,11.279999732971191,11.230783462524414,11.050000190734863,10.869999885559082,11.34339,10.735918,,,0.42240070682630565,Gaia_DR3_EB,"AAVSO_VSX,ASAS-SN,Gaia_EB,Gaia_VarClassify,Gaia_VariSum,SIMBAD"
ELAIS-S1,Gaia DR3 4980457064423377024,9.81680036321,-44.40629673129,Eclipsing Binary,,,,,17.887672,,,18.745506,16.96025,,,0.8771170971354033,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980589697310273280,10.87231678705,-43.5321059423,Eclipsing Binary,,,,,16.670322,,,16.987627,16.175642,,,0.3028843884323277,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980629554606725248,10.29539799278,-43.74671732146,Eclipsing Binary,,,,13.420000076293945,13.38081,,,13.653387,12.937276,,,0.365239344257818,Gaia_DR3_EB,"AAVSO_VSX,ASAS-SN,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980694662013753088,11.37206449856,-42.78805258192,Eclipsing Binary,,,,,18.755726,,,19.58481,17.893902,,,0.41684360134951487,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980864364762179072,10.16888068568,-42.97415530339,Eclipsing Binary,,,,12.270000457763672,12.204885,,,12.397672,11.883888,,,0.8362660442135182,Gaia_DR3_EB,"AAVSO_VSX,ASAS-SN,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4980882510999520640,10.93058621278,-42.77357924068,Eclipsing Binary,,,,14.079999923706055,13.900422,,,14.342939,13.295071,,,0.3091121553279337,Gaia_DR3_EB,"AAVSO_VSX,ASAS-SN,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4982210652327160704,12.76487249313,-45.53925502814,Eclipsing Binary,,,,,16.9269,,,17.245752,16.447887,,,2.538952257422862,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4982403135581824256,12.50187858732,-45.40284709388,Eclipsing Binary,,,,15.3100004196167,14.766259,,,15.537701,13.893897,,,0.2964225269276724,Gaia_DR3_EB,"AAVSO_VSX,ASAS-SN,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
ELAIS-S1,Gaia DR3 4982478898804915584,12.27931944641,-45.04769371018,Eclipsing Binary,,,,,18.785635,,,19.187265,18.262318,,,0.42471961420990384,Gaia_DR3_EB,"AAVSO_VSX,Gaia_EB,Gaia_VarClassify,Gaia_VariSum"
